n,rank,p,epsilon,reference_operator_error,error_over_epsilon,log_B_lower_weighted,log_B_lower_uniform,log_B_floor,log_B_constructed,log_B_upper_budget,lower_remainder,constructed_remainder,upper_budget_remainder
12,1,2.0,0.006944444444444444,0.001727098484555105,0.24870218177593514,37.5703081067653,28.12100584916894,0.9088319099457985,81.1082836526357,111.14026260552028,0.020340812007155762,3.9783385889044656,6.708518493712154
12,2,2.0,0.006944444444444444,0.0017308477851730513,0.2492420810649194,12.835032173503318,8.963697947290086,0.9088319099457985,43.942037001348744,56.69757195029747,-1.0614995297890863,4.594319529819173,6.9135077023553055
12,4,2.0,0.006944444444444444,0.0017346053772766695,0.24978317432784042,2.6928986165582756,1.3356040220625593,0.9088319099457985,23.698227790282687,29.476226622686063,-2.4159058825866806,5.222395635131287,7.323486119641606
12,8,2.0,0.006944444444444444,0.0017346053772766697,0.24978317432784045,0.9088319099457985,0.9088319099457985,0.9088319099457985,9.210397553731266,15.86555395888036,-2.7341730813745637,3.303329205014867,8.143442954214208
16,1,2.0,0.00390625,0.0009727567171042556,0.24902571957868944,58.45845451805286,44.62572811838147,1.019075370937099,118.68278918017515,156.43667357232053,0.10486013842551678,4.119815782567003,6.636741408710027
16,2,2.0,0.00390625,0.0009744198651476322,0.24945148547779383,21.60464896417162,15.696300159484489,1.019075370937099,64.2161674437039,79.38910542642053,-0.9117503008884578,4.769785496382512,6.7928438940780635
16,4,2.0,0.00390625,0.000975371531193398,0.2496951119855099,6.0653624311036936,3.8445234608723116,1.019075370937099,32.890470328959346,40.86532135347054,-2.1749401811503555,4.978421924944485,7.105048864814138
16,8,2.0,0.00390625,0.0009760858955588099,0.24987798926305532,1.019075370937099,1.019075370937099,1.019075370937099,17.44318672790941,21.60342931699554,-3.248863298278221,5.510662758773678,7.729458806286282
20,1,2.0,0.0025,0.0006230504105281317,0.24922016421125265,80.8057898480307,62.526359525338464,1.0967708303723351,157.70709741242806,203.01639237398655,0.16001533387214995,4.2074525741035895,6.592152308922458
20,2,2.0,0.0025,0.0006240244275145472,0.24960977100581888,31.168844099485923,23.155147080566262,1.0967708303723351,76.78786352481815,102.71016370180894,-0.8119900160783162,3.9900120286934975,6.718675205218844
20,4,2.0,0.0025,0.0006244144654067402,0.24976578616269607,9.921740935547176,6.7662485834746455,1.0967708303723351,42.3564586614624,52.55704936572015,-2.004133408540587,4.824228217967882,6.971720997811618
